run,accuracy,diff,fam,ind,rel,alpha_neg,tau,enable_hcl
c6f815dd,0.8069999814033508,0.0,0.0,0.0,0.0,0.8,0.05,20
11ab6535,0.7950000166893005,0.0,0.0,0.0,0.0,0.4,0.3,20
8a596915,0.800000011920929,0.0,0.0,0.0,0.0,0.4,0.15,20
c0b71548,0.8069999814033508,0.0,0.0,0.0,0.0,0.4,0.05,20
55c3a83c,0.7950000166893005,0.0,0.0,0.0,0.0,0.0,0.3,20
6aaae898,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.15,20
2c208cd6,0.8069999814033508,0.0,0.0,0.0,0.0,0.0,0.05,20
456e9f74,0.8159999847412109,0.0,0.0,0.0,0.0,0.8,0.3,10
5239b050,0.8140000104904175,0.0,0.0,0.0,0.0,0.8,0.15,10
3e2c956e,0.8080000281333923,0.0,0.0,0.0,0.0,0.8,0.05,10
224421c8,0.8029999732971191,0.0,0.0,0.0,0.0,0.4,0.3,10
d95e2895,0.8050000071525574,0.0,0.0,0.0,0.0,0.4,0.15,10
8acd1012,0.8080000281333923,0.0,0.0,0.0,0.0,0.4,0.05,10
513c52b1,0.7950000166893005,0.0,0.0,0.0,0.0,0.0,0.3,10
a3c0d4f1,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.15,10
68edc65b,0.8080000281333923,0.0,0.0,0.0,0.0,0.0,0.05,10
ce2b7282,0.8149999976158142,0.0,0.0,0.0,0.0,0.8,0.3,0
79c10374,0.8130000233650208,0.0,0.0,0.0,0.0,0.8,0.15,0
8d0697c2,0.8059999942779541,0.0,0.0,0.0,0.0,0.8,0.05,0
dcb4d876,0.8050000071525574,0.0,0.0,0.0,0.0,0.4,0.3,0
39e7f58b,0.8080000281333923,0.0,0.0,0.0,0.0,0.4,0.15,0
728fe8b1,0.8080000281333923,0.0,0.0,0.0,0.0,0.4,0.05,0
efa0aea1,0.7950000166893005,0.0,0.0,0.0,0.0,0.0,0.3,0
f080b0f7,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.15,0
59e9621a,0.8080000281333923,0.0,0.0,0.0,0.0,0.0,0.05,0
f15a4047,0.7940000295639038,,0.0,0.0,0.0,0.8,1.0,
fa12acfe,0.7960000038146973,,0.0,0.0,0.0,0.8,0.9,
de973abf,0.7990000247955322,,0.0,0.0,0.0,0.8,0.8,
5fffb590,0.8019999861717224,,0.0,0.0,0.0,0.8,0.7,
64f088c9,0.8080000281333923,,0.0,0.0,0.0,0.8,0.6,
f6029b6a,0.8109999895095825,,0.0,0.0,0.0,0.8,0.5,
7b5a8472,0.8140000104904175,,0.0,0.0,0.0,0.8,0.4,
709c846d,0.8149999976158142,,0.0,0.0,0.0,0.8,0.3,
08936bd9,0.8130000233650208,,0.0,0.0,0.0,0.8,0.2,
50500ae7,0.8119999766349792,,0.0,0.0,0.0,0.8,0.1,
3bda11e7,0.7960000038146973,,0.0,0.0,0.0,0.6,1.0,
2cd206f5,0.7990000247955322,,0.0,0.0,0.0,0.6,0.9,
9be7de14,0.8029999732971191,,0.0,0.0,0.0,0.6,0.8,
03b9b26b,0.8059999942779541,,0.0,0.0,0.0,0.6,0.7,
2bab3347,0.8090000152587891,,0.0,0.0,0.0,0.6,0.6,
838e7c65,0.8109999895095825,,0.0,0.0,0.0,0.6,0.5,
c1ffe6e0,0.8119999766349792,,0.0,0.0,0.0,0.6,0.4,
dcfdb1d6,0.8109999895095825,,0.0,0.0,0.0,0.6,0.3,
f258530c,0.8109999895095825,,0.0,0.0,0.0,0.6,0.2,
50a8a8ee,0.8119999766349792,,0.0,0.0,0.0,0.6,0.1,
d8bb2a24,0.796999990940094,,0.0,0.0,0.0,0.4,1.0,
550b799c,0.7990000247955322,,0.0,0.0,0.0,0.4,0.9,
73d9567f,0.800000011920929,,0.0,0.0,0.0,0.4,0.8,
cd490c44,0.8009999990463257,,0.0,0.0,0.0,0.4,0.7,
efafe69e,0.8009999990463257,,0.0,0.0,0.0,0.4,0.6,
95388c9d,0.8019999861717224,,0.0,0.0,0.0,0.4,0.5,
99e6422a,0.8029999732971191,,0.0,0.0,0.0,0.4,0.4,
72c7463f,0.8050000071525574,,0.0,0.0,0.0,0.4,0.3,
191d763c,0.8050000071525574,,0.0,0.0,0.0,0.4,0.2,
dc85bdf1,0.8100000023841858,,0.0,0.0,0.0,0.4,0.1,
63414b5a,0.7979999780654907,,0.0,0.0,0.0,0.2,1.0,
636dc2ba,0.796999990940094,,0.0,0.0,0.0,0.2,0.9,
1b3381fa,0.796999990940094,,0.0,0.0,0.0,0.2,0.8,
00618e1c,0.7960000038146973,,0.0,0.0,0.0,0.2,0.7,
d7f48b71,0.796999990940094,,0.0,0.0,0.0,0.2,0.6,
f94a3bc2,0.7979999780654907,,0.0,0.0,0.0,0.2,0.5,
fb9a8404,0.7979999780654907,,0.0,0.0,0.0,0.2,0.4,
54759a2e,0.7990000247955322,,0.0,0.0,0.0,0.2,0.3,
ea9efc9b,0.8019999861717224,,0.0,0.0,0.0,0.2,0.2,
e7e5da65,0.8069999814033508,,0.0,0.0,0.0,0.2,0.1,
3db50b45,0.7929999828338623,,0.0,0.0,0.0,0.0,1.0,
b6af2e84,0.7919999957084656,,0.0,0.0,0.0,0.0,0.9,
934e2d52,0.7919999957084656,,0.0,0.0,0.0,0.0,0.8,
b3214d3c,0.7929999828338623,,0.0,0.0,0.0,0.0,0.7,
5bc36c70,0.7940000295639038,,0.0,0.0,0.0,0.0,0.6,
984b3d23,0.7960000038146973,,0.0,0.0,0.0,0.0,0.5,
822c2552,0.7950000166893005,,0.0,0.0,0.0,0.0,0.4,
a636825b,0.7960000038146973,,0.0,0.0,0.0,0.0,0.3,
d3917006,0.796999990940094,,0.0,0.0,0.0,0.0,0.2,
e53bd48d,0.8050000071525574,,0.0,0.0,0.0,0.0,0.1,
